"","iteraciones","distancia","masa"
"1694",44,0.000269181349376059,"59"
"1695",45,0.000150206628630705,"69"
"1696",46,0.000170510815984795,"40"
"1697",47,0.000246469369689414,"62"
"1698",48,0.00021248975557911,"10"
"1699",49,0.000204308864825751,"26"
"1700",50,4.57932421545804e-05,"104"
"1701",1,0.00603175257789674,"1"
"1702",2,0.00019781035268701,"20"
"1703",3,0.000127046951118458,"24"
"1704",4,0.000119524743035592,"24"
"1705",5,0.000356498132920699,"10"
"1706",6,0.000175508163760761,"96"
"1707",7,0.000613463162519915,"15"
"1708",8,0.000173023760329179,"52"
"1709",9,7.29450631884721e-05,"86"
"1710",10,0.00083311173324086,"10"
"1711",11,0.000266699941298862,"58"
"1712",12,0.000159479547636057,"47"
"1713",13,0.000955748777779178,"4"
"1714",14,8.34073739777149e-05,"75"
"1715",15,0.000170451951081459,"20"
"1716",16,0.000426166141461705,"29"
"1717",17,0.000160239582259577,"69"
"1718",18,0.000216672539595357,"61"
"1719",19,0.000170066715844587,"60"
"1720",20,2.50154938459991e-05,"52"
"1721",21,8.70471742000083e-05,"27"
"1722",22,0.00114224192163881,"5"
"1723",23,0.0010339464269786,"4"
"1724",24,8.10178489624943e-05,"10"
"1725",25,0.00024952796737441,"7"
"1726",26,0.000110952885792192,"24"
"1727",27,0.00032021180542556,"35"
"1728",28,0.000566429905190101,"14"
"1729",29,0.000527596548398136,"22"
"1730",30,0.000232614476176841,"52"
"1731",31,0.000191773619868671,"77"
"1732",32,3.4287926324235e-05,"49"
"1733",33,3.88409922751209e-05,"24"
"1734",34,0.000216481767766271,"27"
"1735",35,0.000553307022477289,"20"
"1736",36,8.91647959960449e-05,"158"
"1737",37,3.75114182967915e-05,"136"
"1738",38,0.000144343248716665,"48"
"1739",39,0.000194031617406938,"105"
"1740",40,0.000190258632880126,"21"
"1741",41,0.0013919014812942,"2"
"1742",42,0.000221502798175719,"45"
"1743",43,1.76360697287093e-05,"42"
"1744",44,0.000269351494383661,"59"
"1745",45,0.000150408965287228,"69"
"1746",46,0.000170894572236792,"40"
"1747",47,0.000246317896387679,"62"
"1748",48,0.000211946355214142,"10"
"1749",49,0.000204413851858439,"26"
"1750",50,4.59829976326183e-05,"104"
"1751",1,0.00587902008280746,"1"
"1752",2,0.000198121229092316,"20"
"1753",3,0.000126814590317628,"24"
"1754",4,0.000119000575731213,"24"
"1755",5,0.000355658407876298,"10"
"1756",6,0.000175485989158556,"96"
"1757",7,0.000613748839252155,"15"
"1758",8,0.000173141118411348,"52"
"1759",9,7.308921450151e-05,"86"
"1760",10,0.000833729236127796,"10"
"1761",11,0.000266238999352146,"58"
"1762",12,0.00015958266671206,"47"
"1763",13,0.000957528379158147,"4"
"1764",14,8.35846982515609e-05,"75"
"1765",15,0.000170603723754637,"20"
"1766",16,0.000426195249247343,"29"
"1767",17,0.000160312028501355,"69"
"1768",18,0.000216807963029877,"61"
"1769",19,0.000170264239589531,"60"
"1770",20,2.48083793406325e-05,"52"
"1771",21,8.73660206039324e-05,"27"
"1772",22,0.00114366311429259,"5"
"1773",23,0.00103282618527989,"4"
"1774",24,8.1040295277845e-05,"10"
"1775",25,0.000249630668635825,"7"
"1776",26,0.000111099872979581,"24"
"1777",27,0.000320239388368513,"35"
"1778",28,0.000564725429275235,"14"
"1779",29,0.000527674693893875,"22"
"1780",30,0.000232776263656754,"52"
"1781",31,0.000191711379276443,"77"
"1782",32,3.39615937917495e-05,"49"
"1783",33,3.89479555026642e-05,"24"
"1784",34,0.000216696371317762,"27"
"1785",35,0.000553515786498416,"20"
"1786",36,8.92622099383602e-05,"158"
"1787",37,3.76733933290184e-05,"136"
"1788",38,0.000144400900585198,"48"
"1789",39,0.000194024641127148,"105"
"1790",40,0.000190418361768125,"21"
"1791",41,0.00136207805176602,"2"
"1792",42,0.000221666730064364,"45"
"1793",43,1.88349145108322e-05,"42"
"1794",44,0.000269521210389214,"59"
"1795",45,0.000150604220163286,"69"
"1796",46,0.000171271381444655,"40"
"1797",47,0.000246186979588886,"62"
"1798",48,0.000211410631221873,"10"
"1799",49,0.000204519689876653,"26"
"1800",50,4.61753225622779e-05,"104"
"1801",1,0.00571278210401821,"1"
"1802",2,0.000198435366536878,"20"
"1803",3,0.000126585938049157,"24"
"1804",4,0.000118420687383919,"24"
"1805",5,0.000354864477064336,"10"
"1806",6,0.000175472645310643,"96"
"1807",7,0.000614036771065886,"15"
"1808",8,0.000173259469154926,"52"
"1809",9,7.32452317701375e-05,"86"
"1810",10,0.000834356726003497,"10"
"1811",11,0.000265783684916657,"58"
"1812",12,0.000159677905241088,"47"
"1813",13,0.000959328425802402,"4"
"1814",14,8.37589421137534e-05,"75"
"1815",15,0.000170756544940303,"20"
"1816",16,0.000426226447882121,"29"
"1817",17,0.000160385340173587,"69"
"1818",18,0.000216940977753765,"61"
"1819",19,0.000170458433977172,"60"
"1820",20,2.46051891059289e-05,"52"
"1821",21,8.76856238043732e-05,"27"
"1822",22,0.00114507777691236,"5"
"1823",23,0.00103171053000558,"4"
"1824",24,8.1062757112666e-05,"10"
"1825",25,0.000249734714752814,"7"
"1826",26,0.000111247327886007,"24"
"1827",27,0.000320270232855447,"35"
"1828",28,0.000563023281832616,"14"
"1829",29,0.000527754428788538,"22"
"1830",30,0.00023293701958667,"52"
"1831",31,0.000191651846815668,"77"
"1832",32,3.36281190228498e-05,"49"
"1833",33,3.90551653859379e-05,"24"
"1834",34,0.000216908926524541,"27"
"1835",35,0.000553728826933722,"20"
"1836",36,8.93604949020649e-05,"158"
"1837",37,3.78394039049783e-05,"136"
"1838",38,0.000144457872764951,"48"
"1839",39,0.000194018060485156,"105"
"1840",40,0.000190579290066804,"21"
"1841",41,0.00133283445219443,"2"
"1842",42,0.000221831436782316,"45"
"1843",43,2.01482287850051e-05,"42"
"1844",44,0.000269690561943489,"59"
"1845",45,0.000150792151570966,"69"
"1846",46,0.000171641443414662,"40"
"1847",47,0.000246071675876938,"62"
"1848",48,0.000210883037094808,"10"
"1849",49,0.000204626386311882,"26"
"1850",50,4.63692438287497e-05,"104"
"1851",1,0.00553414840849208,"1"
"1852",2,0.000198752825619535,"20"
"1853",3,0.00012635064831119,"24"
"1854",4,0.000117798813222156,"24"
"1855",5,0.00035411833902528,"10"
"1856",6,0.000175467638869753,"96"
"1857",7,0.00061432684852709,"15"
"1858",8,0.000173378737458814,"52"
"1859",9,7.34133408930641e-05,"86"
"1860",10,0.000834989503771919,"10"
"1861",11,0.000265335278180209,"58"
"1862",12,0.000159764843899237,"47"
"1863",13,0.000961148601849186,"4"
"1864",14,8.39294818540798e-05,"75"
"1865",15,0.000170910448457822,"20"
"1866",16,0.000426259665095224,"29"
"1867",17,0.000160459505756362,"69"
"1868",18,0.000217071677916689,"61"
"1869",19,0.000170649031212929,"60"
"1870",20,2.4403664137228e-05,"52"
"1871",21,8.80061121164303e-05,"27"
"1872",22,0.00114647462933234,"5"
"1873",23,0.00103059780175302,"4"
"1874",24,8.10851619858751e-05,"10"
"1875",25,0.000249840041542054,"7"
"1876",26,0.000111395420036989,"24"
"1877",27,0.00032030443215014,"35"
"1878",28,0.000561325639988335,"14"
"1879",29,0.000527835712290768,"22"
"1880",30,0.000233096996695878,"52"
"1881",31,0.000191595255213502,"77"
"1882",32,3.32868047633264e-05,"49"
"1883",33,3.91621841691604e-05,"24"
"1884",34,0.000217119325610502,"27"
"1885",35,0.000553945981307832,"20"
"1886",36,8.94597134519493e-05,"158"
"1887",37,3.80094542501956e-05,"136"
"1888",38,0.00014451397861999,"48"
"1889",39,0.000194011842097935,"105"
