"","Pasos","Dimension","Valor M","Tiempo"
"V866","50","7",17,0.00146293640136719
"V876","50","7",15,0.00135517120361328
"V886","50","7",16,0.00144696235656738
"V896","50","7",17,0.000823020935058594
"V906","50","7",15,0.000823020935058594
"V9110","50","7",16,0.000824928283691406
"V926","50","7",15,0.000869035720825195
"V936","50","7",23,0.000808954238891602
"V946","50","7",24,0.00191998481750488
"V956","50","7",13,0.000816106796264648
"V966","50","7",23,0.000798940658569336
"V976","50","7",17,0.000797033309936523
"V986","50","7",21,0.00140810012817383
"V996","50","7",13,0.00140810012817383
"V1006","50","7",16,0.00141406059265137
"V127","50","8",20,0.00704598426818848
"V227","50","8",20,0.00141000747680664
"V327","50","8",18,0.00141191482543945
"V427","50","8",15,0.00082087516784668
"V527","50","8",13,0.000790119171142578
"V627","50","8",12,0.000799894332885742
"V727","50","8",23,0.00143980979919434
"V827","50","8",18,0.00140213966369629
"V927","50","8",16,0.00140213966369629
"V107","50","8",13,0.0014960765838623
"V1111","50","8",16,0.0032191276550293
"V128","50","8",23,0.00140810012817383
"V137","50","8",20,0.00139284133911133
"V147","50","8",11,0.00139808654785156
"V157","50","8",17,0.00140905380249023
"V167","50","8",21,0.00139403343200684
"V177","50","8",17,0.000929832458496094
"V187","50","8",19,0.000882863998413086
"V197","50","8",16,0.000823020935058594
"V207","50","8",18,0.000811100006103516
"V2111","50","8",18,0.000815153121948242
"V228","50","8",16,0.000944137573242188
"V237","50","8",16,0.000792980194091797
"V247","50","8",19,0.00080418586730957
"V257","50","8",14,0.000803947448730469
"V267","50","8",14,0.0054171085357666
"V277","50","8",16,0.00197005271911621
"V287","50","8",21,0.000847816467285156
"V297","50","8",20,0.000794172286987305
